	age	job	marital	education	default	balance	housing	loan	contact	day	month	duration	campaign	pdays	previous	poutcome	y
38584	51	housemaid	married	secondary	no	3984	no	no	unknown	20	jun	7	12	-1	0	unknown	no
660	39	management	married	tertiary	no	0	yes	yes	cellular	17	jul	301	1	-1	0	unknown	no
34421	40	management	divorced	tertiary	no	69	yes	no	cellular	30	jul	149	2	-1	0	unknown	no
30371	50	admin.	married	secondary	no	706	yes	no	cellular	6	aug	1250	4	-1	0	unknown	yes
9531	45	blue-collar	divorced	primary	no	-311	yes	no	unknown	23	may	1030	1	-1	0	unknown	yes
23188	56	management	divorced	tertiary	no	535	yes	no	cellular	24	jul	67	1	-1	0	unknown	no
19928	37	management	single	secondary	no	1981	no	no	cellular	10	jul	140	2	-1	0	unknown	no
36307	39	management	single	secondary	no	247	yes	no	unknown	20	may	130	2	-1	0	unknown	no
10543	48	services	single	secondary	no	0	yes	yes	cellular	5	may	334	1	-1	0	unknown	no
13442	33	blue-collar	single	secondary	no	-367	yes	yes	cellular	21	nov	225	3	-1	0	unknown	no
11176	39	services	married	secondary	no	104	yes	no	cellular	20	apr	116	2	332	6	failure	no
821	20	student	single	primary	no	825	no	no	unknown	28	aug	27	1	-1	0	unknown	no
40567	32	technician	single	tertiary	no	550	no	no	cellular	19	nov	337	1	-1	0	unknown	yes
24311	42	technician	married	unknown	no	0	no	no	unknown	11	jun	241	1	-1	0	unknown	no
27899	38	services	married	tertiary	no	535	yes	no	cellular	4	feb	369	2	-1	0	unknown	no
8400	46	technician	married	secondary	no	1571	yes	no	unknown	7	may	489	2	-1	0	unknown	no
20159	30	blue-collar	married	primary	no	2581	no	no	unknown	12	may	221	2	-1	0	unknown	no
22054	49	admin.	single	secondary	no	-412	yes	no	cellular	21	jul	31	1	-1	0	unknown	no
18109	32	technician	single	tertiary	no	0	yes	no	unknown	21	may	250	2	-1	0	unknown	no
29683	48	admin.	married	primary	no	4459	yes	no	cellular	6	aug	536	1	-1	0	unknown	no
36149	40	management	married	tertiary	no	1598	yes	yes	cellular	6	may	1074	4	344	3	failure	yes
5115	48	entrepreneur	divorced	tertiary	no	0	yes	yes	unknown	20	jun	139	1	-1	0	unknown	no
28997	49	housemaid	married	primary	no	3436	no	no	unknown	16	jun	171	2	-1	0	unknown	no
16083	30	technician	single	secondary	no	1572	yes	yes	unknown	23	may	209	3	-1	0	unknown	no
16201	34	management	married	tertiary	no	3402	no	no	cellular	3	jun	88	2	-1	0	unknown	no
1373	25	blue-collar	married	primary	yes	-589	yes	no	unknown	3	jun	233	1	-1	0	unknown	no
7078	59	retired	divorced	primary	no	-138	yes	yes	unknown	8	may	89	4	-1	0	unknown	no
13377	56	retired	divorced	secondary	no	-166	no	yes	cellular	4	aug	370	2	-1	0	unknown	no
43022	35	blue-collar	married	secondary	no	609	yes	no	telephone	10	jul	136	1	-1	0	unknown	no
1167	29	management	single	tertiary	no	4694	no	no	cellular	15	jun	181	1	-1	0	unknown	no
24635	32	technician	single	tertiary	no	1527	yes	no	cellular	9	nov	270	1	144	2	failure	no
24477	45	management	married	tertiary	no	3370	no	no	unknown	12	jun	36	3	-1	0	unknown	no
30142	60	management	married	tertiary	no	371	no	yes	cellular	11	aug	102	8	-1	0	unknown	no
30823	40	admin.	married	secondary	no	1380	yes	no	unknown	19	may	127	1	-1	0	unknown	no
38933	28	services	single	secondary	no	234	no	no	unknown	9	may	107	3	-1	0	unknown	no
19608	34	management	single	tertiary	no	-578	yes	no	cellular	18	may	767	2	-1	0	unknown	yes
27003	23	blue-collar	single	secondary	no	-95	yes	no	unknown	14	may	167	3	-1	0	unknown	no
31249	52	technician	married	secondary	no	117	no	no	cellular	26	feb	959	3	186	6	success	yes
10473	77	retired	married	primary	no	3324	no	no	cellular	13	may	289	1	91	5	success	yes
15566	24	management	single	tertiary	no	553	yes	no	unknown	26	may	249	1	-1	0	unknown	no
12022	42	management	married	unknown	no	849	yes	no	cellular	8	oct	667	1	321	1	other	yes
41466	43	management	single	tertiary	no	483	no	no	cellular	19	aug	950	6	-1	0	unknown	yes
18447	58	management	married	secondary	no	111	no	no	telephone	22	jun	39	1	90	2	failure	no
1595	33	self-employed	married	secondary	no	173	no	no	cellular	18	aug	26	5	-1	0	unknown	no
8000	25	technician	single	secondary	no	31	no	no	cellular	2	aug	300	3	-1	0	unknown	no
21790	40	technician	divorced	tertiary	no	1871	yes	no	cellular	17	nov	64	1	-1	0	unknown	no
35660	56	management	married	tertiary	no	935	yes	no	cellular	17	nov	140	1	-1	0	unknown	no
8615	79	retired	divorced	primary	no	336	no	no	cellular	6	oct	386	1	184	1	other	no
8202	30	technician	single	secondary	no	2734	no	no	cellular	21	nov	459	3	-1	0	unknown	yes
19607	35	admin.	single	secondary	no	-101	yes	no	cellular	16	apr	275	1	318	1	other	no
24596	31	admin.	single	secondary	no	0	no	no	telephone	29	jan	528	3	-1	0	unknown	no
40471	39	blue-collar	married	secondary	yes	-931	yes	no	unknown	28	may	92	5	-1	0	unknown	no
41547	54	management	single	tertiary	no	0	no	no	telephone	5	jun	133	4	-1	0	unknown	no
8328	28	management	married	tertiary	no	264	no	no	cellular	28	jan	183	1	-1	0	unknown	no
4680	39	admin.	divorced	secondary	no	512	no	no	cellular	4	feb	275	1	-1	0	unknown	no
27126	57	blue-collar	married	primary	no	856	no	no	cellular	11	aug	194	6	-1	0	unknown	no
4049	45	services	single	secondary	no	141	yes	no	unknown	12	may	111	4	-1	0	unknown	no
12533	35	technician	married	secondary	no	451	yes	yes	cellular	12	may	247	1	-1	0	unknown	no
16922	43	admin.	single	secondary	no	2539	yes	no	unknown	16	may	529	4	-1	0	unknown	no
14047	33	blue-collar	single	primary	no	447	yes	no	unknown	9	may	180	2	-1	0	unknown	no
27512	41	technician	single	tertiary	no	1413	no	no	telephone	26	aug	81	5	-1	0	unknown	no
44737	36	blue-collar	married	secondary	no	959	yes	no	unknown	29	may	200	4	-1	0	unknown	no
30039	47	self-employed	married	secondary	no	0	no	no	cellular	29	aug	90	6	-1	0	unknown	no
12174	34	self-employed	single	tertiary	no	1272	yes	no	cellular	14	may	202	1	-1	0	unknown	no
42667	45	technician	married	secondary	no	2981	yes	yes	cellular	29	mar	88	3	311	3	failure	no
1988	46	management	divorced	tertiary	no	-130	yes	no	cellular	24	mar	144	2	-1	0	unknown	yes
6382	31	services	married	secondary	no	-214	yes	no	unknown	27	may	198	1	-1	0	unknown	no
4617	29	technician	married	secondary	no	23	yes	no	cellular	2	jun	163	1	55	2	failure	yes
34277	35	management	single	tertiary	no	1273	yes	no	unknown	2	jun	111	3	-1	0	unknown	no
44952	48	blue-collar	married	primary	no	214	yes	yes	cellular	18	nov	246	1	162	1	failure	no
37014	54	blue-collar	married	primary	no	175	no	yes	cellular	8	jul	1027	1	-1	0	unknown	no
19827	43	services	divorced	secondary	no	206	yes	no	unknown	14	may	436	1	-1	0	unknown	no
45056	30	technician	single	tertiary	no	196	no	no	cellular	21	aug	210	2	-1	0	unknown	no
33833	37	management	married	tertiary	no	725	no	no	cellular	26	aug	162	13	-1	0	unknown	no
710	41	management	married	secondary	no	0	no	no	cellular	21	aug	280	11	-1	0	unknown	no
1316	52	blue-collar	married	primary	no	134	yes	no	cellular	24	jul	81	3	-1	0	unknown	no
18802	56	blue-collar	married	unknown	no	0	no	no	cellular	18	aug	82	3	-1	0	unknown	no
12547	37	unemployed	single	secondary	no	443	no	no	cellular	29	jan	1600	1	-1	0	unknown	yes
8185	43	entrepreneur	single	tertiary	no	42	no	no	cellular	7	jul	285	1	-1	0	unknown	no
36096	35	admin.	married	secondary	no	220	yes	no	cellular	2	feb	153	4	244	13	failure	no
27940	33	management	married	tertiary	no	321	yes	no	unknown	23	may	101	5	-1	0	unknown	no
10476	38	management	married	primary	no	1365	yes	no	unknown	5	jun	224	1	-1	0	unknown	no
27113	36	management	single	tertiary	no	7	no	no	unknown	21	nov	20	1	-1	0	unknown	no
35791	59	retired	married	tertiary	no	941	no	yes	cellular	4	feb	231	1	210	1	failure	no
26374	59	retired	single	secondary	no	2	no	no	telephone	2	feb	935	1	-1	0	unknown	yes
43598	55	blue-collar	married	secondary	no	630	no	no	cellular	26	aug	146	2	-1	0	unknown	no
35926	34	management	single	tertiary	no	-2	no	no	cellular	27	aug	57	6	-1	0	unknown	no
36903	36	management	single	tertiary	no	490	no	no	cellular	28	aug	207	8	98	1	failure	yes
23828	34	technician	married	secondary	no	209	yes	yes	cellular	8	apr	375	2	-1	0	unknown	no
40173	39	technician	married	secondary	no	94	no	no	unknown	16	jun	182	2	-1	0	unknown	no
12865	36	self-employed	single	secondary	no	20451	no	no	cellular	20	nov	69	3	-1	0	unknown	no
45145	47	admin.	single	secondary	no	3696	no	no	cellular	12	jan	758	4	-1	0	unknown	yes
17975	33	entrepreneur	single	secondary	no	1808	no	no	cellular	19	nov	84	1	-1	0	unknown	no
12670	33	technician	married	tertiary	no	79	yes	yes	cellular	9	feb	390	8	-1	0	unknown	no
43924	55	entrepreneur	married	secondary	no	653	yes	no	cellular	17	nov	193	2	186	1	failure	no
35585	39	blue-collar	married	secondary	no	1419	yes	no	cellular	13	may	9	12	349	1	other	no
32471	37	management	married	tertiary	no	2283	no	no	cellular	6	may	243	2	98	2	failure	yes
35272	45	technician	married	secondary	no	34	no	no	cellular	26	aug	333	4	-1	0	unknown	no
10046	35	blue-collar	married	secondary	no	87	no	no	cellular	18	nov	60	2	-1	0	unknown	no
12304	40	management	married	tertiary	no	20	yes	no	unknown	19	jun	106	2	-1	0	unknown	no
384	31	services	married	secondary	no	-759	yes	no	unknown	12	may	220	2	-1	0	unknown	no
28952	40	management	married	secondary	no	106	no	no	unknown	17	jun	676	2	-1	0	unknown	yes
380	49	blue-collar	married	unknown	no	507	no	yes	unknown	18	jun	16	14	-1	0	unknown	no
20911	31	technician	single	tertiary	no	236	yes	no	cellular	30	jan	200	1	259	1	failure	no
18688	26	blue-collar	single	secondary	no	3145	no	no	cellular	28	dec	1141	1	209	1	other	yes
5254	29	management	single	tertiary	no	1035	yes	no	cellular	21	jul	862	2	-1	0	unknown	no
41752	42	blue-collar	married	unknown	no	1123	yes	no	unknown	29	may	105	3	-1	0	unknown	no
25351	49	entrepreneur	married	secondary	no	348	yes	no	unknown	14	may	139	2	-1	0	unknown	no
11422	29	services	single	unknown	no	196	no	no	cellular	30	jan	726	2	-1	0	unknown	yes
20270	44	entrepreneur	married	tertiary	no	1631	yes	no	unknown	6	may	346	2	-1	0	unknown	no
19533	49	self-employed	married	tertiary	no	23917	no	no	cellular	11	aug	51	4	-1	0	unknown	no
41676	30	technician	single	tertiary	yes	23	no	no	cellular	12	aug	72	4	-1	0	unknown	no
24913	26	admin.	single	secondary	no	1375	yes	no	cellular	17	apr	238	2	-1	0	unknown	no
20091	34	blue-collar	married	secondary	no	406	no	yes	cellular	11	jul	113	2	-1	0	unknown	no
3949	25	technician	single	secondary	no	35	yes	no	cellular	30	jul	96	29	-1	0	unknown	no
23193	27	technician	married	secondary	no	-392	yes	no	cellular	23	jul	228	2	-1	0	unknown	yes
14299	35	management	single	tertiary	no	431	no	no	cellular	17	aug	343	2	397	1	failure	yes
22285	40	blue-collar	married	primary	no	640	yes	yes	unknown	8	may	347	2	-1	0	unknown	no
23452	36	management	divorced	secondary	no	47	no	no	unknown	19	jun	159	1	-1	0	unknown	no
9916	28	unemployed	single	tertiary	no	1010	yes	no	cellular	6	may	911	1	336	2	failure	no
43569	32	technician	single	tertiary	no	1527	yes	no	cellular	9	feb	172	1	92	3	failure	no
43506	31	blue-collar	married	secondary	no	0	no	yes	telephone	15	jul	275	2	-1	0	unknown	no
13001	32	management	married	tertiary	no	1402	no	no	unknown	1	jun	52	1	557	2	failure	no
11091	25	blue-collar	single	secondary	no	2	no	no	unknown	4	jun	264	2	-1	0	unknown	no
8875	35	entrepreneur	married	secondary	no	350	yes	no	unknown	21	may	345	1	-1	0	unknown	no
34350	47	admin.	married	secondary	no	407	yes	no	unknown	5	jun	67	12	-1	0	unknown	no
34927	47	technician	married	secondary	no	10179	yes	no	unknown	9	jun	179	2	-1	0	unknown	no
33448	51	blue-collar	married	secondary	no	598	yes	no	telephone	18	jul	53	4	-1	0	unknown	no
32357	53	management	married	tertiary	no	800	no	no	cellular	18	nov	90	1	-1	0	unknown	no
29459	32	management	married	tertiary	no	2667	yes	no	cellular	4	sep	171	2	186	2	failure	no
10074	44	services	married	secondary	no	179	yes	no	unknown	20	jun	75	3	-1	0	unknown	no
35676	26	technician	married	secondary	no	18	yes	yes	cellular	5	may	138	1	-1	0	unknown	no
8462	33	services	single	secondary	no	100	yes	no	cellular	14	may	11	8	297	7	other	no
1175	57	retired	married	secondary	yes	32	yes	no	cellular	15	may	476	3	-1	0	unknown	no
7834	44	self-employed	married	primary	no	414	yes	no	cellular	4	feb	138	1	272	2	other	no
42130	30	management	married	tertiary	no	0	yes	no	unknown	27	may	175	1	-1	0	unknown	no
8914	53	blue-collar	married	secondary	no	1777	yes	no	cellular	21	nov	796	5	154	1	failure	yes
9569	30	services	married	secondary	no	2191	yes	no	cellular	13	may	157	4	-1	0	unknown	no
29356	33	services	married	secondary	no	244	yes	no	cellular	18	nov	231	2	-1	0	unknown	no
11665	78	retired	divorced	primary	no	2787	no	no	telephone	1	jul	372	1	-1	0	unknown	yes
22972	31	admin.	married	secondary	no	454	yes	no	unknown	4	jun	119	1	-1	0	unknown	no
17045	48	management	married	tertiary	no	1175	yes	no	telephone	18	nov	1476	3	-1	0	unknown	no
13950	38	management	married	unknown	no	546	yes	no	unknown	21	may	264	2	-1	0	unknown	no
28987	52	technician	married	tertiary	no	2557	no	no	cellular	8	jul	340	1	156	1	other	yes
656	45	unknown	married	primary	no	586	yes	no	telephone	21	jul	90	3	-1	0	unknown	no
27902	30	technician	single	secondary	no	316	yes	yes	cellular	30	jan	130	2	2	2	other	no
34794	41	management	single	tertiary	no	869	no	no	cellular	29	jan	524	2	-1	0	unknown	no
22786	30	management	married	tertiary	no	8623	no	no	cellular	8	apr	163	3	-1	0	unknown	no
25581	27	services	single	secondary	no	266	no	yes	cellular	7	jul	232	1	-1	0	unknown	no
22735	53	unemployed	married	primary	no	980	yes	no	cellular	3	dec	352	1	-1	0	unknown	yes
4821	52	admin.	married	secondary	no	722	no	no	cellular	26	oct	99	2	185	3	failure	no
34523	39	housemaid	married	primary	no	267	no	no	unknown	9	jun	1151	5	-1	0	unknown	no
34852	55	management	single	tertiary	no	-350	no	no	telephone	3	feb	87	4	6	1	other	no
25175	29	blue-collar	single	secondary	no	7531	no	no	cellular	15	may	50	2	-1	0	unknown	no
10341	32	admin.	single	secondary	no	620	yes	no	unknown	26	may	1234	3	-1	0	unknown	yes
38962	32	services	married	secondary	no	243	yes	yes	unknown	6	may	144	1	-1	0	unknown	no
13016	66	retired	married	primary	no	711	no	no	telephone	20	apr	137	5	-1	0	unknown	no
33643	35	blue-collar	married	primary	no	151	yes	no	cellular	11	may	301	2	298	6	failure	no
34437	46	technician	married	unknown	no	3308	no	no	cellular	27	oct	171	1	91	2	success	yes
3612	31	housemaid	married	secondary	no	1	yes	no	unknown	30	may	101	16	-1	0	unknown	no
2964	35	admin.	married	secondary	no	304	no	no	cellular	18	mar	237	1	-1	0	unknown	yes
11816	23	student	single	secondary	no	1021	no	no	telephone	19	jun	79	9	-1	0	unknown	no
8912	41	technician	married	secondary	no	-366	yes	yes	unknown	6	may	29	3	-1	0	unknown	no
11435	57	management	married	tertiary	no	75	no	no	cellular	28	aug	260	5	-1	0	unknown	no
3277	25	student	single	secondary	no	304	no	no	cellular	30	nov	152	1	188	2	success	no
41452	27	management	single	secondary	no	-403	yes	no	cellular	21	jul	54	3	-1	0	unknown	no
42157	30	management	single	tertiary	no	7845	yes	no	unknown	3	jun	59	1	-1	0	unknown	no
43591	48	admin.	married	secondary	no	344	no	no	cellular	30	apr	364	1	86	2	other	no
12105	36	management	married	tertiary	no	348	no	yes	cellular	22	jul	307	1	-1	0	unknown	no
1503	33	admin.	single	secondary	no	395	yes	no	unknown	12	may	95	8	-1	0	unknown	no
11506	32	blue-collar	married	tertiary	no	143	yes	yes	cellular	18	may	90	1	-1	0	unknown	no
3400	52	management	married	tertiary	no	2428	yes	no	cellular	28	jul	61	3	-1	0	unknown	no
2299	37	blue-collar	divorced	secondary	no	0	yes	yes	cellular	4	feb	131	1	-1	0	unknown	no
41480	58	admin.	married	secondary	no	1686	no	no	cellular	4	aug	110	2	-1	0	unknown	no
9871	59	entrepreneur	married	tertiary	no	-23	no	yes	cellular	20	aug	195	7	-1	0	unknown	no
22145	26	technician	married	secondary	no	351	yes	no	unknown	2	jun	758	3	-1	0	unknown	no
38936	42	technician	single	secondary	no	-15	no	no	cellular	17	nov	89	1	145	1	failure	no
10992	47	blue-collar	married	secondary	no	303	no	no	unknown	11	jun	261	1	-1	0	unknown	no
15862	35	blue-collar	married	primary	no	4319	no	no	cellular	16	apr	266	1	-1	0	unknown	no
2469	35	management	married	tertiary	no	86	yes	no	cellular	19	aug	144	3	-1	0	unknown	no
36745	60	technician	married	secondary	no	594	no	no	cellular	10	jul	190	1	-1	0	unknown	no
18115	50	technician	single	secondary	no	330	no	no	cellular	6	aug	376	3	-1	0	unknown	no
13599	35	technician	married	secondary	no	1368	no	no	cellular	13	aug	159	2	78	3	success	no
705	45	services	divorced	secondary	no	608	yes	yes	cellular	7	may	1135	3	323	30	failure	yes
24883	43	management	married	tertiary	no	-8	yes	no	unknown	20	may	473	2	-1	0	unknown	no
44687	67	retired	married	primary	no	4416	no	no	cellular	29	sep	245	3	-1	0	unknown	yes
28691	61	retired	married	tertiary	no	1257	no	no	cellular	10	feb	503	1	-1	0	unknown	yes
13872	37	management	married	tertiary	no	1276	no	no	cellular	14	aug	156	2	-1	0	unknown	yes
20557	60	entrepreneur	married	tertiary	no	1164	yes	no	unknown	15	may	325	1	-1	0	unknown	no
22207	70	retired	married	secondary	no	2815	no	no	cellular	26	apr	125	2	182	1	failure	no
21105	50	admin.	single	primary	no	181	yes	no	cellular	15	may	119	4	372	3	failure	no
32053	43	admin.	married	secondary	no	372	yes	no	unknown	27	may	162	1	-1	0	unknown	no
696	52	blue-collar	divorced	primary	no	1250	no	no	unknown	16	jun	342	1	-1	0	unknown	no
23101	31	management	married	tertiary	no	1812	no	no	cellular	4	nov	138	1	84	2	failure	no
22229	34	technician	married	tertiary	no	297	yes	no	cellular	29	jan	375	2	-1	0	unknown	no
6947	54	admin.	married	tertiary	no	-690	yes	yes	unknown	29	may	230	4	-1	0	unknown	no
42778	31	technician	married	tertiary	no	26	no	yes	cellular	18	nov	419	1	127	6	other	yes
19943	50	unemployed	single	secondary	no	588	no	no	cellular	31	jul	649	3	-1	0	unknown	no
5945	51	technician	divorced	secondary	no	2323	yes	yes	cellular	18	aug	151	10	-1	0	unknown	no
22683	51	management	married	primary	no	192	no	no	unknown	18	jun	129	3	-1	0	unknown	no
20735	57	housemaid	divorced	primary	no	1198	no	no	cellular	13	aug	146	1	-1	0	unknown	no
30848	28	student	single	secondary	no	330	no	no	telephone	2	feb	197	1	-1	0	unknown	no
39941	31	management	married	tertiary	no	-6	no	no	cellular	28	aug	198	6	-1	0	unknown	no
23628	27	technician	single	secondary	no	1187	no	no	cellular	28	jan	120	2	-1	0	unknown	no
16055	54	housemaid	married	primary	no	284	no	no	telephone	13	aug	127	4	-1	0	unknown	no
16691	38	technician	married	secondary	no	54	yes	yes	cellular	5	may	236	1	287	2	failure	no
41049	49	management	married	tertiary	no	414	yes	no	unknown	5	jun	155	3	-1	0	unknown	no
43987	60	management	married	unknown	no	1046	yes	no	unknown	24	jun	32	3	-1	0	unknown	no
9411	47	self-employed	married	secondary	no	0	no	no	unknown	26	jun	174	8	-1	0	unknown	no
30417	26	blue-collar	single	secondary	no	419	yes	no	unknown	28	may	94	3	-1	0	unknown	no
24704	44	admin.	divorced	secondary	no	0	no	no	cellular	14	apr	1594	1	148	1	failure	yes
18669	32	admin.	married	secondary	no	1604	no	yes	cellular	7	jul	625	1	-1	0	unknown	yes
39626	44	admin.	married	secondary	no	1696	no	no	unknown	16	jun	139	3	-1	0	unknown	no
12543	29	admin.	single	unknown	no	175	no	no	unknown	28	may	597	3	-1	0	unknown	no
8574	33	admin.	single	secondary	no	434	yes	no	unknown	20	may	351	1	-1	0	unknown	no
27285	37	admin.	married	secondary	no	0	no	yes	unknown	19	jun	176	2	-1	0	unknown	no
39884	36	self-employed	single	secondary	no	1295	no	no	cellular	20	nov	1192	1	-1	0	unknown	yes
40999	58	admin.	married	unknown	no	528	no	no	cellular	12	aug	136	3	-1	0	unknown	no
1037	54	blue-collar	married	secondary	no	2059	yes	no	cellular	25	aug	177	4	-1	0	unknown	no
27694	43	admin.	married	secondary	no	315	no	no	cellular	23	jul	129	2	-1	0	unknown	no
10357	39	admin.	married	secondary	no	70	yes	no	cellular	31	jul	13	11	-1	0	unknown	no
14730	30	management	single	tertiary	no	67	no	no	cellular	12	aug	52	2	-1	0	unknown	no
11815	32	admin.	single	secondary	no	6188	yes	yes	cellular	18	nov	147	1	-1	0	unknown	no
1741	57	retired	married	secondary	no	-133	no	no	cellular	19	aug	197	2	-1	0	unknown	no
28934	37	blue-collar	married	secondary	no	15801	yes	no	unknown	14	may	456	9	-1	0	unknown	no
1812	31	technician	married	tertiary	no	3192	yes	no	cellular	7	sep	179	1	186	2	failure	no
34007	50	housemaid	married	primary	no	85	no	no	cellular	21	nov	714	1	-1	0	unknown	no
1733	53	blue-collar	married	unknown	no	593	no	no	telephone	6	feb	137	1	-1	0	unknown	no
33608	36	housemaid	married	primary	no	-125	no	yes	cellular	6	feb	91	2	-1	0	unknown	no
33453	36	blue-collar	married	secondary	no	-53	yes	no	cellular	20	apr	9	5	322	8	other	no
14005	58	housemaid	married	primary	no	0	no	no	unknown	18	jun	37	1	-1	0	unknown	no
16827	60	management	married	tertiary	no	340	no	yes	cellular	10	jul	361	2	-1	0	unknown	no
41675	36	services	married	secondary	no	33	yes	yes	cellular	22	aug	81	2	-1	0	unknown	no
28354	58	retired	married	primary	no	701	no	no	cellular	22	aug	137	4	-1	0	unknown	no
16006	47	management	divorced	tertiary	no	1149	no	yes	cellular	15	jul	82	2	-1	0	unknown	no
23739	54	technician	married	secondary	no	0	no	no	telephone	16	nov	986	1	94	8	failure	no
28871	53	blue-collar	married	secondary	no	-626	yes	no	cellular	9	jul	205	1	-1	0	unknown	no
16437	35	services	single	secondary	no	-291	yes	no	cellular	20	apr	197	3	-1	0	unknown	no
19576	52	retired	married	secondary	no	411	yes	no	cellular	3	feb	180	3	200	10	other	no
6445	56	blue-collar	single	primary	no	739	yes	no	unknown	15	may	95	1	-1	0	unknown	no
14963	25	services	single	secondary	yes	57	yes	yes	unknown	13	may	190	5	-1	0	unknown	no
33280	49	admin.	married	secondary	no	272	yes	yes	cellular	17	nov	108	1	-1	0	unknown	no
42880	59	unknown	married	secondary	no	402	no	no	telephone	25	jul	69	5	-1	0	unknown	no
8572	52	blue-collar	divorced	primary	no	55	yes	yes	unknown	6	may	186	1	-1	0	unknown	no
8662	31	services	married	secondary	no	-163	yes	no	cellular	21	jul	200	2	-1	0	unknown	no
38221	43	technician	divorced	secondary	no	167	no	no	cellular	4	aug	211	3	-1	0	unknown	no
30250	51	blue-collar	married	secondary	no	7225	no	no	cellular	29	jul	301	2	-1	0	unknown	no
11410	51	blue-collar	married	primary	no	1869	no	no	unknown	17	jun	30	3	-1	0	unknown	no
42210	46	unemployed	married	secondary	no	2940	yes	no	unknown	29	may	195	2	-1	0	unknown	no
36698	29	blue-collar	married	secondary	no	275	yes	no	cellular	18	may	180	1	-1	0	unknown	no
37814	41	management	married	tertiary	no	1194	no	no	cellular	14	aug	50	5	-1	0	unknown	no
11352	53	blue-collar	married	secondary	no	25	no	no	cellular	22	aug	528	2	-1	0	unknown	yes
17058	56	technician	divorced	secondary	no	1480	yes	yes	cellular	5	feb	576	1	-1	0	unknown	no
4251	56	management	married	tertiary	no	15520	no	no	cellular	18	nov	420	1	-1	0	unknown	no
26450	33	technician	single	secondary	no	827	yes	no	cellular	12	aug	58	4	-1	0	unknown	no
17543	30	blue-collar	single	secondary	no	132	yes	no	unknown	16	may	329	1	-1	0	unknown	no
10089	35	services	married	secondary	no	44	yes	no	telephone	17	apr	377	2	-1	0	unknown	no
18980	50	services	divorced	secondary	no	641	no	no	cellular	25	may	128	3	-1	0	unknown	no
27177	48	retired	divorced	primary	no	666	yes	no	cellular	15	may	10	5	-1	0	unknown	no
42431	28	blue-collar	single	secondary	no	339	yes	no	cellular	10	jul	353	1	-1	0	unknown	no
43029	38	management	married	tertiary	no	-585	yes	no	unknown	1	jul	196	4	-1	0	unknown	no
19592	41	management	married	tertiary	no	1408	no	no	cellular	23	jul	403	3	-1	0	unknown	no
32972	43	blue-collar	married	secondary	no	1335	yes	no	unknown	6	may	371	2	-1	0	unknown	no
33544	40	blue-collar	married	primary	no	-22	yes	no	unknown	19	may	84	3	-1	0	unknown	no
33606	41	management	married	tertiary	no	251	no	yes	unknown	6	jun	85	3	-1	0	unknown	no
43810	30	technician	single	secondary	no	167	no	no	cellular	28	aug	35	14	-1	0	unknown	no
12383	37	management	single	tertiary	no	815	yes	no	cellular	7	may	77	1	-1	0	unknown	no
3477	30	technician	single	secondary	yes	1	no	no	cellular	7	aug	407	4	-1	0	unknown	no
23506	45	services	married	secondary	no	191	no	yes	unknown	6	jun	136	2	-1	0	unknown	no
7938	36	management	single	tertiary	no	223	yes	no	cellular	8	apr	281	3	-1	0	unknown	no
17589	33	admin.	single	secondary	no	0	yes	no	cellular	14	jul	166	3	-1	0	unknown	no
394	31	services	married	secondary	no	0	no	yes	cellular	21	nov	208	1	-1	0	unknown	no
35772	51	blue-collar	married	primary	no	1238	no	no	unknown	18	jun	48	10	-1	0	unknown	no
24234	49	admin.	single	secondary	no	0	no	no	cellular	19	nov	325	2	-1	0	unknown	no
35716	38	blue-collar	divorced	secondary	no	1344	yes	no	cellular	15	apr	942	2	-1	0	unknown	no
27045	59	housemaid	married	primary	no	1100	no	no	cellular	18	aug	147	10	-1	0	unknown	no
44234	48	blue-collar	married	primary	no	1670	no	no	unknown	17	jun	145	1	-1	0	unknown	no
23932	45	unemployed	married	unknown	no	490	yes	no	cellular	5	feb	776	3	-1	0	unknown	no
5401	49	management	married	secondary	no	633	no	yes	cellular	29	jul	249	6	-1	0	unknown	no
16367	56	blue-collar	married	primary	no	-85	yes	yes	unknown	26	may	118	1	-1	0	unknown	no
7207	46	unemployed	single	tertiary	no	1808	no	no	cellular	21	nov	221	1	-1	0	unknown	no
39164	29	blue-collar	married	primary	no	410	no	yes	telephone	25	jul	297	2	-1	0	unknown	no
8131	43	management	married	tertiary	no	5670	yes	no	cellular	20	nov	43	4	189	2	failure	no
14114	37	management	married	tertiary	no	7785	yes	no	cellular	17	apr	231	2	-1	0	unknown	no
32589	35	management	married	tertiary	no	854	no	yes	cellular	19	aug	133	20	-1	0	unknown	no
33499	27	management	married	tertiary	no	4909	no	yes	cellular	17	jul	159	3	-1	0	unknown	no
24236	35	management	single	tertiary	no	0	no	no	cellular	21	aug	183	8	-1	0	unknown	no
17362	57	blue-collar	married	primary	no	696	yes	no	cellular	13	aug	89	6	-1	0	unknown	no
16776	53	technician	divorced	secondary	no	173	no	yes	unknown	1	jul	157	1	-1	0	unknown	no
5065	26	technician	single	secondary	no	-213	no	yes	cellular	21	jul	418	5	-1	0	unknown	no
15526	49	entrepreneur	married	secondary	no	348	no	no	cellular	11	aug	105	2	-1	0	unknown	no
19478	45	blue-collar	married	unknown	no	586	no	no	cellular	14	aug	168	2	-1	0	unknown	no
24525	42	management	married	secondary	no	2608	yes	no	unknown	29	may	201	1	-1	0	unknown	no
